number_of_vehicles,number_of_casualties,day_of_week,time,local_authority_district,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,road_surface_conditions,urban_or_rural_area,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_home_area_type,casualty_imd_decile,Year,Month,Day,wind_conditions,weather_conditions_Fine,weather_conditions_Fog or mist,weather_conditions_Other,weather_conditions_Raining,weather_conditions_Snowing,casualty_type_Car driver,casualty_type_Car front seat passenger,casualty_type_Car rear seat passenger,casualty_type_Cyclist,casualty_type_Goods vehicle driver,casualty_type_Goods vehicle passenger,casualty_type_Motorcycle passenger,casualty_type_Motorcycle rider,casualty_type_Other vehicle occupant,casualty_type_Pedestrian,casualty_type_Public transport driver,casualty_type_Public transport passenger
2,2,2,17,3,40,0,0,0,0,0,1,4,0,1,0,2019,8,14,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,1,8,0,30,1,0,0,0,0,1,5,0,0,1,2022,3,8,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,0,22,2,30,0,0,2,0,1,1,9,1,1,0,2018,5,28,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,0,22,2,30,0,0,2,0,1,1,9,1,1,0,2018,5,28,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,7,22,3,30,1,0,1,0,0,0,3,0,1,0,2022,1,23,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,3,3,8,3,30,0,0,0,1,0,1,5,0,1,0,2018,2,15,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,3,3,8,3,30,0,0,0,1,0,1,5,0,1,0,2018,2,15,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,3,3,8,3,30,0,0,0,1,0,1,5,0,1,0,2018,2,15,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1,3,15,3,40,1,0,0,0,0,0,7,0,0,1,2021,8,12,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,3,19,0,40,0,0,1,1,0,0,7,0,0,1,2018,10,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,3,19,0,40,0,0,1,1,0,0,7,0,0,1,2018,10,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,2,3,16,2,30,0,0,0,0,1,0,7,0,0,5,2020,2,27,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,2,3,16,2,30,0,0,0,0,1,0,7,0,0,5,2020,2,27,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,0,8,3,30,0,0,0,0,0,1,2,0,1,0,2018,12,10,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1,1,11,3,40,0,1,0,0,0,0,4,0,1,0,2021,3,9,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,1,20,3,30,0,0,1,0,0,0,8,0,0,8,2022,2,8,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,1,1,13,1,40,0,0,0,0,0,0,8,1,0,6,2020,5,5,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,1,4,14,3,20,0,0,0,0,0,1,6,0,1,0,2021,1,29,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,7,17,3,50,1,0,1,1,1,0,8,1,0,2,2019,2,3,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,7,17,3,50,1,0,1,1,1,0,8,1,0,2,2019,2,3,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,1,15,2,60,0,0,0,0,1,0,6,0,0,2,2019,2,5,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,4,1,0,40,1,0,2,1,1,0,5,1,0,1,2021,1,8,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
3,1,2,17,0,70,1,0,0,0,1,0,7,0,0,2,2022,9,14,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,7,12,3,30,0,0,0,0,0,0,4,0,0,0,2020,5,17,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,7,12,3,30,0,0,0,0,0,0,4,0,0,0,2020,5,17,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,2,17,0,20,0,0,0,0,0,0,4,0,0,1,2018,9,5,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,2,1,13,2,30,0,1,0,1,0,0,5,0,0,1,2018,2,13,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2,2,1,13,2,30,0,1,0,1,0,0,5,0,0,1,2018,2,13,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
5,1,0,4,0,30,1,0,1,0,0,0,5,0,1,0,2022,5,2,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,3,17,1,30,0,0,0,0,0,0,5,0,1,0,2022,9,29,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1,0,6,3,30,0,0,1,1,0,0,3,0,0,0,2020,11,2,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1,4,7,1,30,0,0,0,0,0,1,3,0,0,7,2020,2,21,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,1,11,3,30,1,0,0,0,0,1,3,1,0,7,2018,6,19,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
